Tipo	CNPJ Declarante	CNPJ Sucedida	CNPJ Detentor Crédito	Ano Período	Mês Período	Período Apuração	CFOP	Vlr Base Cálculo	Vlr IPI	Vlr Isentas/Não Tributadas	Vlr Outros
R12	04742371000108		04742371000108	2022	11	0	6101	292743,68	10078,34	0	237535,76
R12	04742371000108		04742371000108	2022	11	0	6151	335564,77	12039,76	0	588819,26
R12	04742371000108		04742371000108	2022	11	0	6910	1150,14	40,15	0	3518,09
R12	04742371000108		04742371000108	2022	12	0	5101	1810983,05	65533,2	0	2601974,46
R12	04742371000108		04742371000108	2022	12	0	5910	2968	106,6	0	10478,95
R12	04742371000108		04742371000108	2022	12	0	6101	265667,93	9364,15	0	225039,97
R12	04742371000108		04742371000108	2022	12	0	6151	314791,35	11226,11	0	500328,24
R12	04742371000108		04742371000108	2022	12	0	6910	1510,35	50,18	0	1722,56
R12	04742371000108		04742371000108	2023	01	0	5101	1746397,1	63357,83	0	2232508,78
R12	04742371000108		04742371000108	2023	01	0	5910	3057,17	107,6	0	7584,96
R12	04742371000108		04742371000108	2023	01	0	6101	171954,91	6137,4	0	189178,31
R12	04742371000108		04742371000108	2023	01	0	6151	346280,16	12501,61	0	420248,42
R12	04742371000108		04742371000108	2023	01	0	6910	1015,35	34,69	0	953,24
R12	04742371000108		04742371000108	2023	02	0	5101	1390846,85	50517,49	0	1953465,72
R12	04742371000108		04742371000108	2023	02	0	5910	5300,97	186,03	0	7049,68
R12	04742371000108		04742371000108	2023	02	0	6101	115266,74	4143,56	0	136228,15
R12	04742371000108		04742371000108	2023	02	0	6151	387451,75	13959,89	0	654470,15
R12	04742371000108		04742371000108	2023	02	0	6910	1452,57	51,07	0	1604,02
R12	04742371000108		04742371000108	2023	03	0	5101	1391958,49	50721,46	0	1918067,12
R12	04742371000108		04742371000108	2023	03	0	5910	2656,59	94,57	0	3727,12
R12	04742371000108		04742371000108	2023	03	0	6101	214768,2	7657,85	0	246948,32
R12	04742371000108		04742371000108	2023	03	0	6151	336324,47	12131,16	0	522655,18
R12	04742371000108		04742371000108	2023	03	0	6910	562,77	19,93	0	3560,42
R12	04742371000108		04742371000108	2023	04	0	5101	1411236	51077,84	0	1961980
R12	04742371000108		04742371000108	2023	04	0	5910	16627,47	592,91	0	19800,73
R12	04742371000108		04742371000108	2023	04	0	6101	160397,93	5683,08	0	191253,6
R12	04742371000108		04742371000108	2023	04	0	6151	409242,67	14711,06	0	562924,95
R12	04742371000108		04742371000108	2023	04	0	6910	3322,26	110,54	0	737,85
R12	04742371000108		04742371000108	2023	05	0	5101	1840026,16	68020,68	0	2323459,59
R12	04742371000108		04742371000108	2023	05	0	5910	6641,8	242,93	0	7863,35
R12	04742371000108		04742371000108	2023	05	0	6101	296018,74	10423,08	0	298791,63
R12	04742371000108		04742371000108	2023	05	0	6151	474833,23	16966,6	0	544543,8
R12	04742371000108		04742371000108	2023	05	0	6910	2734,65	98,25	0	3775,33
R12	04742371000108		04742371000108	2023	06	0	5101	1771923,56	64465,2	0	2342008,21
R12	04742371000108		04742371000108	2023	06	0	5910	9298,29	340,93	0	8369,36
R12	04742371000108		04742371000108	2023	06	0	6101	211562,48	7463,49	0	230602,52
R12	04742371000108		04742371000108	2023	06	0	6151	396547,13	14222,96	0	492518,27
R12	04742371000108		04742371000108	2023	06	0	6910	2862,48	102,08	0	2353,68
R12	04742371000108		04742371000108	2023	07	0	5101	1772848,83	64299,17	0	2435384,23
R12	04742371000108		04742371000108	2023	07	0	5910	4428,29	157,62	0	9987,74
R12	04742371000108		04742371000108	2023	07	0	6101	192808,42	6872,71	0	192202,81
R12	04742371000108		04742371000108	2023	07	0	6151	438907,36	15821,35	0	581582,42
R12	04742371000108		04742371000108	2023	07	0	6910	2039,44	71,69	0	1762,27
R12	04742371000108		04742371000108	2023	08	0	5101	1795067,47	64932,46	0	2395861,55
R12	04742371000108		04742371000108	2023	08	0	5910	6405,78	224,45	0	7872,54
R12	04742371000108		04742371000108	2023	08	0	6101	204546,91	7260,37	0	233035,88
R12	04742371000108		04742371000108	2023	08	0	6151	502188,66	17979,08	0	672498,75
R12	04742371000108		04742371000108	2023	08	0	6910	2388,12	83,43	0	1859,86
R12	04742371000108		04742371000108	2023	09	0	5101	1716918,97	62077,33	0	2182418,82
R12	04742371000108		04742371000108	2023	09	0	5910	7418,07	268,14	0	6150,9
R12	04742371000108		04742371000108	2023	09	0	6101	142314,93	5032,01	0	203715,07
R12	04742371000108		04742371000108	2023	09	0	6151	355648,13	12778,95	0	550269,68
R12	04742371000108		04742371000108	2023	09	0	6910	825,29	28,23	0	1104,95
R12	04742371000108		04742371000108	2023	10	0	5101	1241201,49	44977,3	0	2136016,75
R12	04742371000108		04742371000108	2023	10	0	5910	4092,59	144,55	0	4935,38
R12	04742371000108		04742371000108	2023	10	0	6101	303431,18	10670,62	0	232392,4
R12	04742371000108		04742371000108	2023	10	0	6151	438271,74	15617,1	0	584371,36
R12	04742371000108		04742371000108	2023	10	0	6910	2157,57	74,97	0	2594,2
R12	04742371000108		04742371000108	2023	11	0	5101	1651464,21	59782,85	0	2101358,7
R12	04742371000108		04742371000108	2023	11	0	5910	8339,6	297,16	0	8853,93
R12	04742371000108		04742371000108	2023	11	0	6101	171966,66	6074,4	0	190838,24
R12	04742371000108		04742371000108	2023	11	0	6151	371480,69	13259,49	0	502257,22
R12	04742371000108		04742371000108	2023	11	0	6910	1716,86	60,89	0	2423,74
R12	04742371000108		04742371000108	2023	12	0	5101	1481679,13	53879,76	0	1704055,2
R12	04742371000108		04742371000108	2023	12	0	5910	5904,72	210,11	0	5836
R12	04742371000108		04742371000108	2023	12	0	6101	225518,85	7815,08	0	144002,04
R12	04742371000108		04742371000108	2023	12	0	6151	393711,67	14200,06	0	426040,97
R12	04742371000108		04742371000108	2023	12	0	6910	777,97	26,14	0	622,45
R12	04742371000108		04742371000108	2024	01	0	5101	1710323,23	61974,23	0	2181697,8
R12	04742371000108		04742371000108	2024	01	0	5910	6159,13	215,49	0	8872,61
R12	04742371000108		04742371000108	2024	01	0	6101	221426,29	7890,26	0	290112,97
R12	04742371000108		04742371000108	2024	01	0	6151	237092,45	8493,28	0	350189,87
R12	04742371000108		04742371000108	2024	01	0	6910	3028,71	106,89	0	2652,79
R12	04742371000108		04742371000108	2024	02	0	5101	1709928,17	62324,36	0	2101290,3
R12	04742371000108		04742371000108	2024	02	0	5910	6395,33	228,49	0	10460,96
R12	04742371000108		04742371000108	2024	02	0	6101	244097,51	8604,1	0	223343,59
R12	04742371000108		04742371000108	2024	02	0	6151	407349,41	14713,65	0	501186,33
R12	04742371000108		04742371000108	2024	02	0	6910	2740,78	94,29	0	1994,18
R12	04742371000108		04742371000108	2024	03	0	5101	1828952,56	66449,06	0	2205675,41
