Tipo	CNPJ Declarante	CNPJ Sucedida	CNPJ Detentor Crédito	Ano Período	Mês Período	Período Apuração	CFOP	Vlr Base Cálculo	Vlr IPI	Vlr Isentas/Não Tributadas	Vlr Outros
R11	04742371000108	04742371000108	04742371000108	2022	09	0	1101	1337,6	130,42	0	396852,32
R11	04742371000108	04742371000108	04742371000108	2022	09	0	2101	2511677,61	146768,01	481522,22	2107642,34
R11	04742371000108	04742371000108	04742371000108	2022	09	0	2910	1000	32,5	0	0
R11	04742371000108	04742371000108	04742371000108	2022	10	0	1201	53565,61	2007,76	11374	53601,21
R11	04742371000108	04742371000108	04742371000108	2022	10	0	2101	1953665,34	112107,64	624262	1131727,81
R11	04742371000108	04742371000108	04742371000108	2022	10	0	2201	653,97	24,53	0	8978,34
R11	04742371000108	04742371000108	04742371000108	2022	10	0	2556	10207	1531,05	0	1607,49
R11	04742371000108	04742371000108	04742371000108	2022	11	0	1201	5682,86	209,8	0	23897,12
R11	04742371000108	04742371000108	04742371000108	2022	11	0	2101	1313550,9	74334,93	638236,98	827244,28
R11	04742371000108	04742371000108	04742371000108	2022	11	0	2201	461,95	16,56	0	4189,15
R11	04742371000108	04742371000108	04742371000108	2022	11	0	2556	1100	57,2	13430,24	0
R11	04742371000108	04742371000108	04742371000108	2022	11	0	2910	2788	418,2	0	0
R11	04742371000108	04742371000108	04742371000108	2022	12	0	1101	19580,22	2937,03	0	220798,94
R11	04742371000108	04742371000108	04742371000108	2022	12	0	1201	4161,24	149,84	0	13816,14
R11	04742371000108	04742371000108	04742371000108	2022	12	0	2101	2034755,76	124617,55	388705,5	1014552,18
R11	04742371000108	04742371000108	04742371000108	2022	12	0	2201	483,26	17,16	0	230,65
R11	04742371000108	04742371000108	04742371000108	2022	12	0	3101	289250,56	9400,64	0	0
R11	04742371000108	04742371000108	04742371000108	2023	01	0	1201	9876,29	356,64	0	18795,59
R11	04742371000108	04742371000108	04742371000108	2023	01	0	2101	824469,25	80158,64	209918,07	484717,45
R11	04742371000108	04742371000108	04742371000108	2023	01	0	2201	5693,46	210,1	0	20536,92
R11	04742371000108	04742371000108	04742371000108	2023	01	0	3101	481941	15663,08	0	0
R11	04742371000108	04742371000108	04742371000108	2023	02	0	2101	1478437,22	85099,33	240303	1140405,24
R11	04742371000108	04742371000108	04742371000108	2023	03	0	2101	1903712,2	111683,31	182133,12	561173,03
R11	04742371000108	04742371000108	04742371000108	2023	03	0	2911	632,2	94,83	0	0
R11	04742371000108	04742371000108	04742371000108	2023	04	0	1201	22951,69	949,53	0	18919,62
R11	04742371000108	04742371000108	04742371000108	2023	04	0	2101	934562,44	79757,64	431305	114353,4
R11	04742371000108	04742371000108	04742371000108	2023	04	0	2201	2115,65	78,11	0	5543,15
R11	04742371000108	04742371000108	04742371000108	2023	04	0	3101	526510,07	17111,58	0	0
R11	04742371000108	04742371000108	04742371000108	2023	05	0	1201	3001,69	135,68	0	9201,59
R11	04742371000108	04742371000108	04742371000108	2023	05	0	2101	1665826,01	105374,72	780429,3	870105,43
R11	04742371000108	04742371000108	04742371000108	2023	05	0	2201	211,73	7,96	0	1501,22
R11	04742371000108	04742371000108	04742371000108	2023	05	0	2556	2070,2	201,84	0	2800
R11	04742371000108	04742371000108	04742371000108	2023	05	0	2911	429	64,35	0	0
R11	04742371000108	04742371000108	04742371000108	2023	05	0	3101	164213,37	5336,93	599639,52	0
R11	04742371000108	04742371000108	04742371000108	2023	06	0	1201	11032,73	451,32	75,51	14987,55
R11	04742371000108	04742371000108	04742371000108	2023	06	0	2101	2158100,32	133044,3	543403,5	526852,75
R11	04742371000108	04742371000108	04742371000108	2023	06	0	2201	2380,51	85,41	5220	1158,54
R11	04742371000108	04742371000108	04742371000108	2023	06	0	2910	540	17,56	0	78,88
R11	04742371000108	04742371000108	04742371000108	2023	06	0	2911	24,86	0,81	7,26	0,48
R11	04742371000108	04742371000108	04742371000108	2023	06	0	3101	119805,79	3893,69	0	0
R11	04742371000108	04742371000108	04742371000108	2023	07	0	1201	10544,32	439,58	0	7899,69
R11	04742371000108	04742371000108	04742371000108	2023	07	0	2101	1232971,98	70519,74	166102	571269,89
R11	04742371000108	04742371000108	04742371000108	2023	07	0	2201	816,68	29,4	0	1253,04
R11	04742371000108	04742371000108	04742371000108	2023	07	0	2910	3581,64	116,42	0	0
R11	04742371000108	04742371000108	04742371000108	2023	07	0	3101	836435,89	27184,16	0	0
R11	04742371000108	04742371000108	04742371000108	2023	08	0	1201	7544,57	280,72	2,75	11476
R11	04742371000108	04742371000108	04742371000108	2023	08	0	2101	1113594,62	68431,79	160766	356115,81
R11	04742371000108	04742371000108	04742371000108	2023	08	0	2201	1671,59	62,69	0	1755,43
R11	04742371000108	04742371000108	04742371000108	2023	09	0	1101	58410,24	8761,54	0	220768,58
R11	04742371000108	04742371000108	04742371000108	2023	09	0	1201	1401,41	67,7	0	10376,21
R11	04742371000108	04742371000108	04742371000108	2023	09	0	1556	48,15	3,13	8790,5	13340,79
R11	04742371000108	04742371000108	04742371000108	2023	09	0	1910	72,72	7,09	0	0
R11	04742371000108	04742371000108	04742371000108	2023	09	0	1949	36587,65	1189,1	0	0
R11	04742371000108	04742371000108	04742371000108	2023	09	0	2101	1538767,14	93575,08	311692,5	544958,93
R11	04742371000108	04742371000108	04742371000108	2023	09	0	2201	440,87	16,03	0	3462,76
R11	04742371000108	04742371000108	04742371000108	2023	09	0	2910	4185,9	209,3	0	0
R11	04742371000108	04742371000108	04742371000108	2023	09	0	2949	1303,16	127,06	0	0
R11	04742371000108	04742371000108	04742371000108	2023	09	0	3101	388652,66	12631,22	120126,73	0
R11	04742371000108	04742371000108	04742371000108	2023	10	0	1201	5946,37	218,52	0	14110,37
R11	04742371000108	04742371000108	04742371000108	2023	10	0	2101	2086784,74	148847,98	593084	252890,57
R11	04742371000108	04742371000108	04742371000108	2023	10	0	2201	567,7	18,45	0	150,57
R11	04742371000108	04742371000108	04742371000108	2023	10	0	2556	7048,03	402,47	0	30073,23
R11	04742371000108	04742371000108	04742371000108	2023	10	0	2910	55,49	4,98	0	0
R11	04742371000108	04742371000108	04742371000108	2023	10	0	2911	15,48	0,48	0	0
R11	04742371000108	04742371000108	04742371000108	2023	10	0	2922	52687,65	1712,35	0	38320
R11	04742371000108	04742371000108	04742371000108	2023	10	0	3101	141484,32	4598,24	589675,39	0
R11	04742371000108	04742371000108	04742371000108	2023	11	0	1101	45624,92	6843,74	0	180250,62
R11	04742371000108	04742371000108	04742371000108	2023	11	0	1201	7220,48	260,49	1,25	35904,92
R11	04742371000108	04742371000108	04742371000108	2023	11	0	2101	1124283,3	59486,9	362571,94	888703,88
R11	04742371000108	04742371000108	04742371000108	2023	11	0	2201	28,42	1,07	0	2214,71
R11	04742371000108	04742371000108	04742371000108	2023	11	0	3101	542936,21	18390,6	535606,55	0
R11	04742371000108	04742371000108	04742371000108	2023	12	0	1201	7710,46	428,4	0	15175,24
R11	04742371000108	04742371000108	04742371000108	2023	12	0	2101	972984,96	98657,21	513505,6	405246,22
R11	04742371000108	04742371000108	04742371000108	2023	12	0	2201	425,15	15,23	0	6684,82
R11	04742371000108	04742371000108	04742371000108	2023	12	0	3101	214371,35	6541,35	0	0
R11	04742371000108	04742371000108	04742371000108	2024	01	0	1101	29832,99	4474,94	0	255087,53
R11	04742371000108	04742371000108	04742371000108	2024	01	0	1201	8809,97	321,13	0	5686,29
R11	04742371000108	04742371000108	04742371000108	2024	01	0	1556	594,92	58	15221,29	25829,37
R11	04742371000108	04742371000108	04742371000108	2024	01	0	2101	1713794,83	105959,94	215585	1170865,83
R11	04742371000108	04742371000108	04742371000108	2024	01	0	2201	1711,45	63,31	0	1289,15
R11	04742371000108	04742371000108	04742371000108	2024	01	0	3101	1084165,13	37917,96	0	0
R11	04742371000108	04742371000108	04742371000108	2024	02	0	1201	6909,53	271,6	0	15761,15
R11	04742371000108	04742371000108	04742371000108	2024	02	0	2101	1002357,22	52750,99	4197,5	426076,7
R11	04742371000108	04742371000108	04742371000108	2024	02	0	2653	1158	60,22	0	0
R11	04742371000108	04742371000108	04742371000108	2024	02	0	2949	3637,12	354,62	0	0
R11	04742371000108	04742371000108	04742371000108	2024	02	0	3101	446356,17	18376,84	0	144174,94
R11	04742371000108	04742371000108	04742371000108	2024	03	0	1101	25473,3	3821	0	263416,76
R11	04742371000108	04742371000108	04742371000108	2024	03	0	1201	5445,15	201,43	260	16845,67
R11	04742371000108	04742371000108	04742371000108	2024	03	0	1556	537,81	26,89	22071,9	31413,79
R11	04742371000108	04742371000108	04742371000108	2024	03	0	2101	1637529,14	141490,12	181269	213406,05
R11	04742371000108	04742371000108	04742371000108	2024	04	0	1201	17191,9	634,89	0	21151,93
R11	04742371000108	04742371000108	04742371000108	2024	04	0	2101	1260403,25	71239,21	162887	1212576,93
R11	04742371000108	04742371000108	04742371000108	2024	04	0	2201	102,94	3,86	0	900,68
R11	04742371000108	04742371000108	04742371000108	2024	04	0	2556	16280,66	722,41	0	38449,68
R11	04742371000108	04742371000108	04742371000108	2024	04	0	2910	1043	156,45	0	0
R11	04742371000108	04742371000108	04742371000108	2024	04	0	2911	72,12	7,64	0	0
R11	04742371000108	04742371000108	04742371000108	2024	05	0	1201	6514,06	233,25	0	15553,66
R11	04742371000108	04742371000108	04742371000108	2024	05	0	2101	1746940,02	110335,68	55385,2	383968,99
R11	04742371000108	04742371000108	04742371000108	2024	05	0	2201	0	16,01	0	1085,17
R11	04742371000108	04742371000108	04742371000108	2024	05	0	2556	4249,16	414,29	0	11489,48
R11	04742371000108	04742371000108	04742371000108	2024	05	0	2910	14838,68	2225,81	0	0
R11	04742371000108	04742371000108	04742371000108	2024	06	0	1201	8271,41	313,09	0	11208,13
R11	04742371000108	04742371000108	04742371000108	2024	06	0	2101	1336366,73	69635,14	154169,88	739100,7
R11	04742371000108	04742371000108	04742371000108	2024	06	0	2201	83,06	2,83	0	42,98
R11	04742371000108	04742371000108	04742371000108	2024	06	0	2556	2054,87	200,35	0	3676,2
R11	04742371000108	04742371000108	04742371000108	2024	06	0	2910	1466,75	220,01	0	0
R11	04742371000108	04742371000108	04742371000108	2024	07	0	1101	10854,22	1628,13	0	179806,46
R11	04742371000108	04742371000108	04742371000108	2024	07	0	1201	4440,01	198,31	0	11007,22
R11	04742371000108	04742371000108	04742371000108	2024	07	0	2101	1955195,23	137215,37	191045,46	1176326
R11	04742371000108	04742371000108	04742371000108	2024	07	0	2201	220,04	7,97	0	263,17
R11	04742371000108	04742371000108	04742371000108	2024	07	0	2910	8082	1212,3	0	0
R11	04742371000108	04742371000108	04742371000108	2024	07	0	2911	259,43	8,45	0	0
R11	04742371000108	04742371000108	04742371000108	2024	07	0	3101	183117,11	7532,89	0	0
R11	04742371000108	04742371000108	04742371000108	2024	08	0	1201	0	4,41	0	0
R11	04742371000108	04742371000108	04742371000108	2024	08	0	2101	2042630,96	102495,58	171120,11	424301,72
R11	04742371000108	04742371000108	04742371000108	2024	08	0	2201	86,55	9,67	0	555
R11	04742371000108	04742371000108	04742371000108	2024	08	0	2911	43	6,45	147,39	0
R11	04742371000108	04742371000108	04742371000108	2024	09	0	1101	39124,58	5868,68	0	296462,34
R11	04742371000108	04742371000108	04742371000108	2024	09	0	1201	10673,66	398,65	0	24124,03
R11	04742371000108	04742371000108	04742371000108	2024	09	0	1556	262,2	25,56	15514,74	14677,77
R11	04742371000108	04742371000108	04742371000108	2024	09	0	2101	1118539,66	68031,57	1417,37	961955,13
R11	04742371000108	04742371000108	04742371000108	2024	09	0	2201	3306,33	113,28	0	2680,13
R11	04742371000108	04742371000108	04742371000108	2024	09	0	2910	5993,95	564,17	0	0
R11	04742371000108	04742371000108	04742371000108	2024	09	0	2911	14,05	0,45	239,06	0
R11	04742371000108	04742371000108	04742371000108	2024	09	0	2949	24	1,2	0	274,4
R11	04742371000108	04742371000108	04742371000108	2024	09	0	3101	470743,6	18353,76	97186,93	436423,44
R11	04742371000108	04742371000108	04742371000108	2024	10	0	1101	13619,82	2042,97	24369,5	305531,12
R11	04742371000108	04742371000108	04742371000108	2024	10	0	1201	2420,72	88,65	0	17419,17
R11	04742371000108	04742371000108	04742371000108	2024	10	0	2101	2195811,49	99888,6	23145,84	806813,94
R11	04742371000108	04742371000108	04742371000108	2024	10	0	2949	17514,82	569,23	0	1659,65
R11	04742371000108	04742371000108	04742371000108	2024	11	0	1201	6452,21	239,67	0	12021,71
R11	04742371000108	04742371000108	04742371000108	2024	11	0	2101	1420191,19	56528,69	25962	576119,15
R11	04742371000108	04742371000108	04742371000108	2024	11	0	2201	134,1	4,36	0	790,31
R11	04742371000108	04742371000108	04742371000108	2024	11	0	2556	8246,79	306,2	400	27774,67
R11	04742371000108	04742371000108	04742371000108	2024	11	0	2949	110,71	8,64	0	0
R11	04742371000108	04742371000108	04742371000108	2024	12	0	1201	6340,08	231,88	0	10944,46
R11	04742371000108	04742371000108	04742371000108	2024	12	0	2101	2817879,59	118158,02	0	520315,18
R11	04742371000108	04742371000108	04742371000108	2024	12	0	2201	4904,08	176,47	0	3325,05
R11	04742371000108	04742371000108	04742371000108	2024	12	0	2556	2054,84	200,35	0	0
